name,logo,ad,motto
Gillette,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRS8uCe23im0DEx1t59SFOHv6jQIP76TIN4Ou9TddFJLGky--G3rgiejGcsTA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRVdfWDJ1JrdsGPuRuKtJTLC6H7KEEPqgMMx5J83t1jZUdFQJl7BHaTq1MntBs&s,The Best A Man Can Get
Goldman,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRpKKDd2K588iJRra8SXoggI4s0KckRfU3Zb_fywRXcsIWbv50H_ljM-3tDDCc&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSDA2XzZNtITKPu7VmfSp640D6ehv2KC_nvQ_PtOfRQEsAOB9GOitl0lMxVmV4&s,SachsYou Can Money by Goldman Sachs
Google,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRWgqBfqT4fScegAI892pFAXki3-lqRUhopsAVs6H4UI2Iry-hxYyuNStE_ww&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQZnCslv9EI7z-XqYhBUSv9ekQX_PJZE7QOKBfuHl17Uu_dlQnAK-yuewV2hw&s,With A Little Help From Google
Gucci,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRbTipU4lvUewcNJTOYBCvUNjkyaGcML05eFHv6OaOpqsUg3d0mb-DXtvhbF4k&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRZOJisUnL1tJkkmvPjabJt4OCQxCxTZ-Cbw3-p7DO2PvPWTvK_1Zt2Spk7fDA&s,NA  Does not use a tagline
H&M,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-UpYfSBZDd_u-gF4Cv2oFylqSgN7Z-K5Jmudju168vT-roLrmMvbl-ZeL9bA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS-UpYfSBZDd_u-gF4Cv2oFylqSgN7Z-K5Jmudju168vT-roLrmMvbl-ZeL9bA&s,NA  Does not use a tagline
Harley-Davidson,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR_dHSxD_R0bLL_nKQVdotDuna3zOqsKM8CLGhmZe0Mmy6fOWOqcu_IXPUCpg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS401M4pXMGpyBlm8BPhXI7-iEy6yMYTC4yPAwUbvlnzowqdLsOL-DRse91xQ&s,Screw it
Heineken,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvK5cZi5hXm1XeYgqJAv-boyFYDjsGj4hgVXHv6E0gTqo-juz2vX8ljSyUjQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQGEnIzBDgEX2UvJDSdjL7MCbsjm8xXb73lKOye1kb0F0hFrsXZ0VLv2ZXN6yc&s,Open Your World
Hennessy,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS9mkgyCN_eYT7NrRF7cqKlkLzSoua7fG8hD_apQMhWxMtCR0Tud1Rti32Iq5w&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSACtOxfKxp49RZaL6EFz0ixTKabJVaLirCoXKLhiMw6l7iePFNOVAxMhPVzA&s,Never Stop Never Settle Since 
Hermès,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCwBefmdcG8njWzL5Da4izsorDGnSzgXsrVIMxzUQXJKSrkNuv0CHUZuoZkg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGX7bsE685WOYUzPtQw-PTgcamqkhi5_dwgrfdoiiIZb7eG32R0_5eHzYOCg&s,NA  Does not use a tagline
Hewlett,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQoWS1EooOpfgTMDP7rtgdWWE3iLj74tHaLFb2I79xOWnM6xEV_Zy7gj-chDw&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ-iSubD5iBKTPyL5gUr21p7KuczABG771Tsbdn3M0uziTDIkpdY8t09nt7Fw&s,Packard EnterpriseAccelerating Next
Honda,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTGdrxab4dOMm6VsVPanqHMj4ga6nR8xeotOdkx05fjK3elfvuK7R8dx3nSZQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT2vqOHAVz7wPOt_WqHogNaxk48pFZpWVRmKkPRS9vsW1PbUV_eC4tk1ZBEzEo&s,From Honda
HP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR8E_03hI7UlakijiqvMp7lyD42af28h17S3y6f04BFWpO6kPRc9ozmeomXKA&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSszI2mqiigmTamUB6nM_cNMK8snH_6vzxhS5dCJHLXKrGtbvy2TNuJ4TFw8Q&s,Keep Reinventing
HSBC,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRvjbrYnOym0PHrdizueKrySxMr7UUcRTrEGllCXqwAa3VjXWZnBXiQp8NaXQ&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT_XsYnOdErHTxysHsJgs7PmRJGiJYmTy6dBbNtTGtg0lGdkaJcuH_7O0PybLk&s,Together We Thrive
Huawei,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQr7kq67XZg8HldeJSqT3MCXMKvklgnwgDbL-orYGSyJOUiW34alHJceu9HOg&s,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTQqeVzEJaby7QIWqiY3yMkcpK1BOttBluOCb4l3XRx-h2ddMqib-32GvGVUA&s,Its In Your Hands
